No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Column1,Lateral Helper,Ball (mph),Spin (rpm),Spin Axis (deg),Column2,Spin Axis Helper,Launch V (deg),Launch H (deg),Column3,Launch H Helper,Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
1,152.6,16.7,169.3,-3.4,,-3.4,117.3,3655,-7.5,,-7.5,7.9,0,,0,4.2,31.2,0,0,14.69,77,50,Standard
2,106.6,5.9,112.5,0,,0,92.9,8965,0,,0,10.7,0,,0,3.9,31.4,0,0,14.69,77,50,Standard
3,190.9,0.3,191.1,0.2,,0.2,144.9,10482,15,,15,10.7,-5,,-5,6.9,108.5,0,0,14.69,77,50,Standard
4,243,0.8,243.8,0.4,,0.4,169.4,6689,15,,15,19.3,-5,,-5,8.8,199,0,0,14.69,77,50,Standard
5,242.4,2.7,245.1,42.1,,42.1,154.1,3275,0,,0,25,10,,10,8.6,198,0,0,14.69,77,50,Standard
6,136.3,0.9,137.2,11.9,,11.9,105.1,6310,0,,0,27.9,5,,5,6.3,114,0,0,14.69,77,50,Standard
7,114.8,3.7,118.5,-2.8,,-2.8,89.8,5172,-7.5,,-7.5,19.3,0,,0,4.5,51.5,0,0,14.69,77,50,Standard
8,244.6,2.8,247.4,14.6,,14.6,151,1379,15,,15,33.6,0,,0,8.9,240.6,0,0,14.69,77,50,Standard
9,256.3,1.2,257.4,-13.1,,-13.1,172.4,2137,7.5,,7.5,36.4,-5,,-5,10.3,322.6,0,0,14.69,77,50,Standard
10,29.3,13.4,42.7,4.9,,4.9,62.2,10862,-7.5,,-7.5,5,10,,10,1.1,2.3,0,0,14.69,77,50,Standard
11,74.8,0.1,74.9,-3.8,,-3.8,71.4,10862,-15,,-15,33.6,0,,0,4.5,62.4,0,0,14.69,77,50,Standard
12,120.6,1.5,122.1,0,,0,99,10862,0,,0,16.4,0,,0,5,61,0,0,14.69,77,50,Standard
13,191.3,0.1,191.2,50.1,,50.1,166.3,3655,15,,15,45,10,,10,10.5,360.3,0,0,14.69,77,50,Standard
14,136.5,1.4,135,7.2,,7.2,135.7,10482,7.5,,7.5,36.4,0,,0,8.3,221.2,0,0,14.69,77,50,Standard
15,62.4,14.9,77.2,-7.3,,-7.3,80.6,9344,-15,,-15,5,-5,,-5,2.1,6.7,0,0,14.69,77,50,Standard
16,306.4,5.8,312.3,-35.9,,-35.9,178.6,1758,-7.5,,-7.5,19.3,-5,,-5,8.5,179.3,0,0,14.69,77,50,Standard
17,199.6,2.7,202.3,-10.1,,-10.1,144.9,7448,7.5,,7.5,5,-5,,-5,6,62.7,0,0,14.69,77,50,Standard
18,105.1,2.8,108,11.5,,11.5,83.7,2896,7.5,,7.5,39.3,5,,5,5.6,100.8,0,0,14.69,77,50,Standard
19,97.9,0.8,98.7,-11.6,,-11.6,83.7,5931,15,,15,36.4,-10,,-10,5.5,93.8,0,0,14.69,77,50,Standard
20,88.5,0.1,88.6,2.3,,2.3,77.6,8965,7.5,,7.5,27.9,0,,0,4.6,60.1,0,0,14.69,77,50,Standard
21,131.3,1.3,130,15.8,,15.8,135.7,9724,-7.5,,-7.5,39.3,10,,10,8.5,233.2,0,0,14.69,77,50,Standard
22,44,11.1,55.1,1,,1,65.3,10862,15,,15,7.9,0,,0,1.7,6,0,0,14.69,77,50,Standard
23,93.3,0.8,92.4,-5.3,,-5.3,83.7,10862,7.5,,7.5,30.7,-5,,-5,5.2,79,0,0,14.69,77,50,Standard
24,87.2,6.5,93.6,19,,19,83.7,10482,15,,15,10.7,10,,10,3.3,22.4,0,0,14.69,77,50,Standard
25,122.9,4.2,127,-2.7,,-2.7,89.8,2896,-7.5,,-7.5,30.7,0,,0,5.4,86.4,0,0,14.69,77,50,Standard
26,293.8,6.2,300,-18.6,,-18.6,175.5,2517,-15,,-15,16.4,0,,0,8.1,153.1,0,0,14.69,77,50,Standard
27,165.7,4.3,170.1,28.8,,28.8,111.2,2896,0,,0,27.9,10,,10,6.5,119.9,0,0,14.69,77,50,Standard
28,296,9.4,305.4,33.6,,33.6,172.4,1379,7.5,,7.5,16.4,5,,5,7.6,136.6,0,0,14.69,77,50,Standard
29,77.6,1.9,79.6,3,,3,68.4,4793,15,,15,33.6,0,,0,4.2,56.1,0,0,14.69,77,50,Standard
30,272.2,0.8,273,-12.1,,-12.1,187.8,7068,-7.5,,-7.5,16.4,0,,0,9.2,209.6,0,0,14.69,77,50,Standard
31,189.1,0.5,188.6,15.1,,15.1,148,11620,-15,,-15,13.6,10,,10,7.4,133.2,0,0,14.69,77,50,Standard
32,81.3,6.1,87.4,14.1,,14.1,80.6,11241,0,,0,10.7,10,,10,3.2,20.3,0,0,14.69,77,50,Standard
33,212.7,0,212.7,-9.7,,-9.7,172.4,4413,-7.5,,-7.5,39.3,0,,0,10.5,344.9,0,0,14.69,77,50,Standard
34,38.6,15.4,54.1,3.4,,3.4,59.2,4413,0,,0,10.7,5,,5,1.6,6.3,0,0,14.69,77,50,Standard
35,174.3,0.8,173.5,-33.7,,-33.7,169.4,6689,-15,,-15,42.1,-5,,-5,10.3,345.3,0,0,14.69,77,50,Standard
36,163.4,0.5,162.9,14.4,,14.4,129.6,10482,15,,15,19.3,0,,0,7,128.9,0,0,14.69,77,50,Standard
37,150.4,2.5,152.9,7.6,,7.6,120.4,11241,-7.5,,-7.5,7.9,5,,5,5.3,57.7,0,0,14.69,77,50,Standard
